task_name,index,model_name,prompt,output,score
number_1,1,gemini-pro,"수 1는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",일,1.0
number_1,2,gemini-pro,"수 2는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,1.0
number_1,3,gemini-pro,"수 3는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,1.0
number_1,4,gemini-pro,"수 4는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,1.0
number_1,5,gemini-pro,"수 5는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,1.0
number_1,6,gemini-pro,"수 6는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",육,1.0
number_1,7,gemini-pro,"수 7는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",칠,1.0
number_1,8,gemini-pro,"수 8는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",팔,1.0
number_1,9,gemini-pro,"수 9는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",구,1.0
number_1,10,gemini-pro,"수 10는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십,1.0
number_1,11,gemini-pro,"수 11는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",열한,0.0
number_1,12,gemini-pro,"수 12는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십이,1.0
number_1,13,gemini-pro,"수 13는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십,0.0
number_1,14,gemini-pro,"수 14는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십사,1.0
number_1,15,gemini-pro,"수 15는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십오,1.0
number_1,16,gemini-pro,"수 16는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십육,1.0
number_1,17,gemini-pro,"수 17는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십칠,1.0
number_1,18,gemini-pro,"수 18는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십팔,1.0
number_1,19,gemini-pro,"수 19는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십,0.0
number_1,20,gemini-pro,"수 20는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,21,gemini-pro,"수 21는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,22,gemini-pro,"수 22는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,23,gemini-pro,"수 23는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,24,gemini-pro,"수 24는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,25,gemini-pro,"수 25는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,26,gemini-pro,"수 26는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,27,gemini-pro,"수 27는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이십칠,1.0
number_1,28,gemini-pro,"수 28는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,29,gemini-pro,"수 29는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이,0.0
number_1,30,gemini-pro,"수 30는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,31,gemini-pro,"수 31는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,32,gemini-pro,"수 32는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,33,gemini-pro,"수 33는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,34,gemini-pro,"수 34는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,35,gemini-pro,"수 35는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,36,gemini-pro,"수 36는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,37,gemini-pro,"수 37는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,38,gemini-pro,"수 38는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,39,gemini-pro,"수 39는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",삼,0.0
number_1,40,gemini-pro,"수 40는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,41,gemini-pro,"수 41는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,42,gemini-pro,"수 42는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,43,gemini-pro,"수 43는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,44,gemini-pro,"수 44는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,45,gemini-pro,"수 45는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,46,gemini-pro,"수 46는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사십육,1.0
number_1,47,gemini-pro,"수 47는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,48,gemini-pro,"수 48는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,49,gemini-pro,"수 49는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",사,0.0
number_1,50,gemini-pro,"수 50는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
number_1,51,gemini-pro,"수 51는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오십일,1.0
number_1,52,gemini-pro,"수 52는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",오,0.0
