task_name,kullm12.8b,polyglot-ko-1.3b,kullm5.8b,gemini-pro,gpt-3.5-turbo,ko_vicuna_7b,KoAlpaca-Polyglot-5.8B,llama2_13b
ko_quiz_1,8.32,1.52,8.32,52.38,58.55,31.09,1.78,37.1
ko_quiz_2,2.16,3.78,7.03,82.51,38.38,50.27,3.24,34.59
ko_quiz_3,9.24,0.84,0.84,31.53,31.93,6.72,0.84,0.0
ko_quiz_4,1.72,3.0,1.72,15.04,19.31,3.43,0.0,9.87
ko_quiz_5,7.19,2.94,0.65,50.67,66.99,8.5,0.0,4.58
ko_quiz_6,2.52,6.92,3.14,51.9,57.23,29.56,2.52,24.53
ko_quiz_7,4.23,1.15,3.08,31.76,33.46,7.69,1.54,6.15
ko_quiz_8,10.2,6.12,2.04,44.44,30.61,24.49,0.0,24.49
nli,6.11,2.5,5.01,34.0,30.83,12.11,3.6,20.22
number_1,4.9,0.0,0.9,13.61,7.91,0.0,2.9,0.1
number_2,3.9,0.0,3.1,43.29,63.36,0.0,0.8,1.4
number_3,0.83,0.51,3.12,0.57,3.63,2.93,0.83,5.6
reasoning,49.7,43.9,48.6,33.09,66.3,40.4,40.1,56.1
spelling_correct,5.17,0.74,5.2,1.74,34.17,4.82,1.07,5.48
summarization,71.2,59.94,71.21,73.1,73.58,69.46,66.25,71.11
translation,1.87,0.34,2.01,18.67,23.04,1.69,1.68,2.29
overall,11.82,8.39,10.37,36.14,40.00,18.32,7.95,18.98
